Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
South Sudan,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Spain,Europe and Central Asia,78.77776,14.80602,17.809,48.7,104.1691,173.5954,0.27
Sri Lanka,South Asia,75.82385,3.719166,13.642,15.1,11.39652,44.64912,Empty
Sudan,Sub-Saharan Africa,27.02198,1.19598,5.635,10.5,18.36684,85.48409,0.31
Suriname,Latin America and the Caribbean,51.81121,5.90099,10.959,6.5,58.43468,36.12993,Empty
Svalbard And Jan Mayen,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Sweden,Europe and Central Asia,5.42308,13.38871,19.037,98.4,68.46247,216.0904,0.14
Switzerland,Europe and Central Asia,19.72536,12.61537,16.584,94.8,66.28783,303.9418,0.15
Syria,Middle East and North Africa,88.99445,3.821802,7.419,28.8,16.33131,76.08144,Empty
Taiwan,East Asia and Pacific,111.919,16.31314,Empty,Empty,90.32929,59.15171,0.53
Tajikistan,Europe and Central Asia,89.30186,3.929416,10.861,32.9,35.08128,92.42925,Empty
Tanzania,Sub-Saharan Africa,21.61365,2.591091,8.586,10.0,11.93319,35.7186,Empty
Turkey,Europe and Central Asia,68.7383,9.80275,19.685,43.6,45.85727,189.6048,0.51
Thailand,East Asia and Pacific,337.7773,11.82369,15.581,14.8,25.91616,28.80462,0.47
Timor-Leste,East Asia and Pacific,Empty,Empty,13.242,Empty,Empty,Empty,Empty
Togo,Sub-Saharan Africa,17.36265,2.190335,12.962,10.4,10.37732,5.042636,Empty
Tokelau,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Tonga,East Asia and Pacific,147.6218,3.336419,16.287,30.0,150.2406,53.77941,Empty
Trinidad And Tobago,Latin America and the Caribbean,40.5739,5.066238,14.101,6.5,64.12119,76.29039,Empty
Tunisia,Middle East and North Africa,22.305,7.095983,14.62,32.2,30.82063,102.0863,Empty
Turkmenistan,Europe and Central Asia,115.282,11.39363,13.241,31.9,52.4587,114.1408,Empty
Turks And Caicos Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Tuvalu,East Asia and Pacific,Empty,9.330864,12.102,Empty,77.08694,23.13512,Empty
Uganda,Sub-Saharan Africa,20.96775,0.788946,11.496,9.2,9.587189,29.87009,Empty
Ukraine,Europe and Central Asia,57.90405,15.562,13.328,112.3,46.38618,141.8666,0.43
United Arab Emirates,Middle East and North Africa,52.43877,11.27358,17.208,28.7,76.70278,120.5803,0.38
United Kingdom,Europe and Central Asia,15.60899,9.139245,17.634,449.6,83.25328,208.9055,Empty
United States,North America,30.60352,15.74897,16.413,Empty,121.7128,228.1323,0.31
Uruguay,Latin America and the Caribbean,73.39216,14.64641,17.352,45.0,64.44014,226.56,Empty
Uzbekistan,Europe and Central Asia,83.21526,12.20032,11.993,31.8,42.0123,259.1106,Empty
Vanuatu,East Asia and Pacific,99.78377,2.577917,11.812,25.6,36.88404,21.98013,Empty
Venezuela,Latin America and the Caribbean,54.22483,5.998797,13.502,25.3,37.05611,93.24217,0.5
Vietnam,East Asia and Pacific,124.1683,3.713503,Empty,19.8,52.75736,36.65238,0.66
Virgin Islands,Latin America and the Caribbean,Empty,Empty,Empty,7.7,Empty,Empty,Empty
Wallis And Futuna,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Western Sahara,Middle East and North Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Yemen,Middle East and North Africa,52.33308,1.49869,7.935,23.4,14.14058,23.07982,Empty
Zambia,Sub-Saharan Africa,18.67087,2.781207,11.018,8.8,17.96858,7.280802,0.58
Zimbabwe,Sub-Saharan Africa,21.34658,1.117215,11.026,8.8,57.49594,27.94053,0.7
